model,feature_set,split,params,MAE,RMSE,training_time_seconds
MLPRegressor,F1,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",76.07415584617499,106.01879423019591,4.785555582959205
GradientBoostingRegressor,F0,validation,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",77.16676304023655,103.85960888996969,1.5468761660158634
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",77.21730682849967,102.82677217033151,1.9765763750765473
GradientBoostingRegressor,F1,validation,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",78.07609250558114,102.82556377801333,1.473275583004579
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 3, 'random_state': 42}",80.39881831015306,109.39061482295743,2.2522802089806646
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",80.6021080564688,111.9020048289574,5.513155416119844
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",81.54174654622086,118.97083785205612,9.368485416052863
GradientBoostingRegressor,F0,validation,"{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",82.83475780956293,112.39194999809514,1.132021832978353
GradientBoostingRegressor,F1,validation,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",83.89751988306901,111.95336212655133,0.9956787088885903
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",86.17387998605288,112.18408070687487,1.9687542498577386
GradientBoostingRegressor,F0,validation,"{'n_estimators': 100, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",88.5610506539865,122.11810275909028,0.7437800420448184
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 2, 'random_state': 42}",90.31995274020379,116.48674260146326,1.5680415420792997
GradientBoostingRegressor,F1,validation,"{'n_estimators': 300, 'learning_rate': 0.03, 'max_depth': 2, 'random_state': 42}",90.47656727030417,118.59262917185383,1.9873378339689225
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64, 32), 'activation': 'relu', 'alpha': 0.001, 'learning_rate_init': 0.001, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",91.74416603700132,132.39171685987506,8.492627542000264
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (128,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",94.38409285155666,132.7307406392948,7.223590125096962
GradientBoostingRegressor,F1,validation,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",96.53273864356467,132.45915053585014,0.493400749983266
MLPRegressor,F0,validation,"{'hidden_layer_sizes': (64,), 'activation': 'relu', 'alpha': 0.0001, 'learning_rate_init': 0.01, 'max_iter': 500, 'early_stopping': True, 'random_state': 42}",98.2139189943416,125.12446360755926,4.95885487482883
GradientBoostingRegressor,F0,validation,"{'n_estimators': 50, 'learning_rate': 0.05, 'max_depth': 3, 'random_state': 42}",99.87704099736641,145.81328428589583,0.39455962483771145
GradientBoostingRegressor,F0,validation,"{'n_estimators': 300, 'learning_rate': 0.05, 'max_depth': 2, 'random_state': 42}",99.91851925787999,128.3933250899007,1.6128580828662962
